,Brand,Model,year,Owners,Transmission,Variant,Mileage,Fuel,Price
177,Land Rover,Discovery Sport,2016,1st,Automatic,TD4 HSE 7S,45000.0 km,Diesel,"₹ 36,00,000"
178,Datsun,RediGO,2016,1st,Manual,Others,13000.0 km,Petrol,"₹ 2,20,000"
179,Hyundai,Grand i10,2019,1st,Manual,1.2 Kappa Sportz Dual Tone,27000.0 km,Petrol,"₹ 5,60,000"
180,Toyota,Fortuner,2014,2nd,Manual,3.0 Limited Edition,93014.0 km,Diesel,"₹ 14,75,000"
181,Maruti Suzuki,Baleno,2016,1st,Manual,1.3 Sigma,77000.0 km,Diesel,"₹ 5,00,000"
182,Volkswagen,Polo,2019,,Automatic,GT TSI,57099.0 km,Petrol,"₹ 7,05,000"
183,Maruti Suzuki,Ritz,2012,1st,Manual,LDi,72000.0 km,Diesel,"₹ 1,80,000"
184,Mahindra,Scorpio,2017,1st,Automatic,S10 AT 2WD,29000.0 km,Diesel,"₹ 13,25,000"
185,Mahindra,XUV500,2018,1st,Automatic,W11 Option AT,28000.0 km,Diesel,"₹ 17,45,000"
186, , , ,, ,, , , 
187,Hyundai,i20,2011,2nd,Manual,1.2 Asta,50000.0 km,Petrol,"₹ 2,90,000"
188,Mahindra,Scorpio,2014,2nd,Manual,S10,80000.0 km,Diesel,"₹ 8,50,000"
189,Mahindra,Scorpio,2019,1st,Manual,S11,66000.0 km,Diesel,"₹ 15,50,000"
190,Maruti Suzuki,Swift Dzire,2017,1st,Manual,LDI Optional,42000.0 km,Diesel,"₹ 6,60,000"
191,Lamborghini,Huracan,2019.0,1st,Automatic,LP 610 4,2200.0 km,Petrol,"₹ 2,99,00,000"
192,Maruti Suzuki,Swift,2009,2nd,Manual,VDI BS IV,145000.0 km,Diesel,"₹ 3,25,000"
193,Hyundai,Grand i10,2015,1st,Manual,2013-2016 Asta Option,45000.0 km,Petrol,"₹ 4,90,000"
194,Volkswagen,Ameo,2018,1st,Manual,1.2 MPI Comfortline,30000.0 km,Petrol,"₹ 5,25,000"
195,Honda,Amaze,2017,1st,Manual,SX i DTEC,51000.0 km,Diesel,"₹ 5,75,000"
196,Hyundai,Elite i20,2016,1st,Manual,Era 1.2,56000.0 km,Petrol,"₹ 5,25,000"
197,Maruti Suzuki,Swift,2020,1st,Manual,LXI,3900.0 km,Petrol,"₹ 5,65,000"
198,Honda,Jazz,2016,1st,Manual,1.5 V i DTEC Privilege,95000.0 km,Diesel,"₹ 4,49,000"
199,Mercedes-Benz,New C-Class,2018,2nd,Automatic,C 220 CDI Avantgarde,30000.0 km,Diesel,"₹ 29,00,000"
200,Maruti Suzuki,Ritz,2012,1st,Manual,VDi,63000.0 km,Diesel,"₹ 2,20,000"
201,Maruti Suzuki,Swift,2011,1st,Manual,2004-2010 VDI BSIV,85000.0 km,Diesel,"₹ 3,10,000"
202,Toyota,Etios Liva,2013,1st,Manual,1.4 GD,69856.0 km,Diesel,"₹ 3,49,000"
203,Renault,Duster,2014,1st,Manual,2012-2015 85PS Diesel RxL,79000.0 km,Diesel,"₹ 3,95,000"
204,Maruti Suzuki,Swift,2016,2nd,Manual,VDI,86050.0 km,Diesel,"₹ 5,70,000"
205,Renault,KWID,2017,1st,Automatic,1.0 RXT AMT Opt,26000.0 km,Petrol,"₹ 3,50,000"
206,Ford,Endeavour,2014,1st,Manual,2014-2015 2.5L 4X2 MT,73000.0 km,Diesel,"₹ 7,25,000"
207,Maruti Suzuki,Swift,2014,2nd,Manual,2011-2014 VDI,120000.0 km,Diesel,"₹ 4,00,000"
208,Tata,Safari,2009,2nd,Manual,4x4 EX DICOR BS-III,"122,000 km",Diesel,"₹ 3,00,000"
209,Volkswagen,Polo,2011,,Manual,,62000.0 km,Petrol,"₹ 1,91,000"
210,Maruti Suzuki,S-Cross,2017,1st,Manual,Zeta 1.6,"32,000 km",Diesel,"₹ 8,00,000"
211,Tata,Safari Storme,2016,2nd,Manual,EX,"80,000 km",Diesel,"₹ 6,75,000"
212,Tata,H2X,2021,1st,Manual,Others,0 km,Electric,"₹ 15,000"
213,Hyundai,Verna,2015,1st,Manual,2015-2016 1.4 VTVT,78000.0 km,Petrol,"₹ 5,90,000"
214,Maruti Suzuki,Omni,2012,1st,Manual,5 Seater,79000.0 km,Petrol,"₹ 1,20,000"
215,Maruti Suzuki,Wagon R,2010,2nd,Manual,VXI,65000.0 km,Petrol,"₹ 1,99,000"
216,Toyota,Innova Crysta,2017,1st,Manual,2.4 VX MT 8S,72000.0 km,Diesel,"₹ 16,50,000"
217,Skoda,Rapid,2013,1st,Manual,Elegance 1.6 TDI CR Manual,72000.0 km,Diesel,"₹ 3,50,000"
218,Volkswagen,Vento,2011,1st,Manual,2010-2013 Petrol Comfortline,75000.0 km,Petrol,"₹ 3,25,000"
